Date,Ticker,Company,Close,Market Cap,Volume
2025-06-02,054780,키이스트,4150,,9803
2025-06-02,060570,드림어스컴퍼니,9445,,81666
2025-06-02,063440,에스엠라이프디자인그룹,1545,,74265
2025-06-02,376300,디어유,52700,,300566
2025-06-04,041510,에스엠,128100,,187778
2025-06-04,048550,에스엠컬처앤콘텐츠,1405,,206048
2025-06-04,054780,키이스트,4220,,19545
2025-06-04,060570,드림어스컴퍼니,9305,,99123
2025-06-04,063440,에스엠라이프디자인그룹,1538,,165428
2025-06-04,376300,디어유,53500,,267927
2025-06-05,041510,에스엠,134400,,262324
2025-06-05,048550,에스엠컬처앤콘텐츠,1428,,263957
2025-06-05,054780,키이스트,4200,,62777
2025-06-05,060570,드림어스컴퍼니,9705,,132246
2025-06-05,063440,에스엠라이프디자인그룹,1540,,132038
2025-06-05,376300,디어유,54400,,222687
2025-06-09,041510,에스엠,138200,,179262
2025-06-09,048550,에스엠컬처앤콘텐츠,1459,,285307
2025-06-09,054780,키이스트,4285,,43407
2025-06-09,060570,드림어스컴퍼니,9625,,46410
2025-06-09,063440,에스엠라이프디자인그룹,1561,,241421
2025-06-09,376300,디어유,55400,,247521
2025-06-10,041510,에스엠,140900,,196111
2025-06-10,048550,에스엠컬처앤콘텐츠,1490,,553498
2025-06-10,054780,키이스트,4360,,115209
2025-06-10,060570,드림어스컴퍼니,9535,,22842
2025-06-10,063440,에스엠라이프디자인그룹,1588,,494234
2025-06-10,376300,디어유,56400,,250912
2025-06-11,041510,에스엠,139600,,150176
2025-06-11,048550,에스엠컬처앤콘텐츠,1481,,301838
2025-06-11,054780,키이스트,4350,,57707
2025-06-11,060570,드림어스컴퍼니,9425,,26890
2025-06-11,063440,에스엠라이프디자인그룹,1601,,282494
2025-06-11,376300,디어유,53800,,391773
2025-06-12,041510,에스엠,137500,,265860
2025-06-12,048550,에스엠컬처앤콘텐츠,1475,,168646
2025-06-12,054780,키이스트,4290,,53240
2025-06-12,060570,드림어스컴퍼니,8760,,152392
2025-06-12,063440,에스엠라이프디자인그룹,1601,,186701
2025-06-12,376300,디어유,53300,,200894
2025-06-13,041510,에스엠,132300,,332346
2025-06-13,048550,에스엠컬처앤콘텐츠,1451,,282844
2025-06-13,054780,키이스트,4190,,175131
2025-06-13,060570,드림어스컴퍼니,9050,,111516
2025-06-13,063440,에스엠라이프디자인그룹,1569,,349500
2025-06-13,376300,디어유,52200,,305811
2025-06-16,041510,에스엠,135500,,131393
2025-06-16,048550,에스엠컬처앤콘텐츠,1446,,229686
2025-06-16,054780,키이스트,4185,,27493
2025-06-16,060570,드림어스컴퍼니,8800,,35825
2025-06-16,063440,에스엠라이프디자인그룹,1572,,140398
2025-06-16,376300,디어유,53300,,143580
2025-06-17,041510,에스엠,135300,,136315
2025-06-17,048550,에스엠컬처앤콘텐츠,1440,,232928
2025-06-17,054780,키이스트,4150,,33205
2025-06-17,060570,드림어스컴퍼니,8695,,37593
2025-06-17,063440,에스엠라이프디자인그룹,1535,,227054
2025-06-17,376300,디어유,54000,,254810
2025-06-18,041510,에스엠,134900,,123655
2025-06-18,048550,에스엠컬처앤콘텐츠,1439,,148911
2025-06-18,054780,키이스트,4165,,23241
2025-06-18,060570,드림어스컴퍼니,8685,,16956
2025-06-18,063440,에스엠라이프디자인그룹,1544,,136629
2025-06-18,376300,디어유,55400,,289223
2025-06-19,041510,에스엠,135000,,161661
2025-06-19,048550,에스엠컬처앤콘텐츠,1473,,1116272
2025-06-19,054780,키이스트,4730,,8634310
2025-06-19,060570,드림어스컴퍼니,8650,,26332
2025-06-19,063440,에스엠라이프디자인그룹,1585,,534334
2025-06-19,376300,디어유,56400,,339024
2025-06-20,041510,에스엠,138200,,136711
2025-06-20,048550,에스엠컬처앤콘텐츠,1503,,525455
2025-06-20,054780,키이스트,4620,,706924
2025-06-20,060570,드림어스컴퍼니,8685,,22569
2025-06-20,063440,에스엠라이프디자인그룹,1611,,296230
2025-06-20,376300,디어유,57800,,192477
2025-06-23,041510,에스엠,133300,,197642
2025-06-23,048550,에스엠컬처앤콘텐츠,1461,,290571
2025-06-23,054780,키이스트,4545,,385729
2025-06-23,060570,드림어스컴퍼니,8630,,26744
2025-06-23,063440,에스엠라이프디자인그룹,1584,,202205
2025-06-23,376300,디어유,54600,,354666
2025-06-24,041510,에스엠,135800,,175868
2025-06-24,048550,에스엠컬처앤콘텐츠,1491,,362743
2025-06-24,054780,키이스트,4530,,218359
2025-06-24,060570,드림어스컴퍼니,8660,,23608
2025-06-24,063440,에스엠라이프디자인그룹,1608,,247330
2025-06-24,376300,디어유,56400,,283368
2025-06-25,041510,에스엠,134500,,134234
2025-06-25,048550,에스엠컬처앤콘텐츠,1471,,229556
2025-06-25,054780,키이스트,4445,,161578
2025-06-25,060570,드림어스컴퍼니,8755,,16093
2025-06-25,063440,에스엠라이프디자인그룹,1616,,352313
2025-06-25,376300,디어유,51800,,506573
2025-06-26,041510,에스엠,133800,,108969
2025-06-26,048550,에스엠컬처앤콘텐츠,1439,,303264
2025-06-26,054780,키이스트,4370,,109116
2025-06-26,060570,드림어스컴퍼니,8570,,19768
2025-06-26,063440,에스엠라이프디자인그룹,1615,,313389
2025-06-26,376300,디어유,53400,,351462
2025-06-27,041510,에스엠,137500,,189327
2025-06-27,048550,에스엠컬처앤콘텐츠,1439,,276273
2025-06-27,054780,키이스트,4400,,119607
2025-06-27,060570,드림어스컴퍼니,8455,,20299
2025-06-27,063440,에스엠라이프디자인그룹,1597,,229404
2025-06-27,376300,디어유,62200,,1645635
2025-06-30,041510,에스엠,141000,,169026
2025-06-30,048550,에스엠컬처앤콘텐츠,1482,,710756
2025-06-30,054780,키이스트,4355,,124571
2025-06-30,060570,드림어스컴퍼니,9225,,288251
2025-06-30,063440,에스엠라이프디자인그룹,1595,,116384
2025-06-30,376300,디어유,61500,,318599
2025-07-01,041510,에스엠,143900,,182508
2025-07-01,048550,에스엠컬처앤콘텐츠,1490,,274953
2025-07-01,054780,키이스트,4365,,71306
2025-07-01,060570,드림어스컴퍼니,9715,,204315
2025-07-01,063440,에스엠라이프디자인그룹,1600,,76769
2025-07-01,376300,디어유,60200,,349166
2025-07-02,041510,에스엠,144500,,191240
2025-07-02,048550,에스엠컬처앤콘텐츠,1470,,234086
2025-07-02,054780,키이스트,4345,,111635
2025-07-02,060570,드림어스컴퍼니,9775,,52341
2025-07-02,063440,에스엠라이프디자인그룹,1603,,108515
2025-07-02,376300,디어유,57600,,452265
2025-07-03,041510,에스엠,135700,,235074
2025-07-03,048550,에스엠컬처앤콘텐츠,1482,,139687
2025-07-03,054780,키이스트,4365,,54637
2025-07-03,060570,드림어스컴퍼니,9420,,22079
2025-07-03,063440,에스엠라이프디자인그룹,1605,,118963
2025-07-03,376300,디어유,56400,,399333
2025-07-04,041510,에스엠,130500,,133931
2025-07-04,048550,에스엠컬처앤콘텐츠,1452,,179589
2025-07-04,054780,키이스트,4355,,51283
2025-07-04,060570,드림어스컴퍼니,9855,,44041
2025-07-04,063440,에스엠라이프디자인그룹,1605,,130851
2025-07-04,376300,디어유,54500,,277744
2025-07-07,041510,에스엠,129300,,116576
2025-07-07,048550,에스엠컬처앤콘텐츠,1466,,240976
2025-07-07,054780,키이스트,4325,,40406
2025-07-07,060570,드림어스컴퍼니,9470,,37369
2025-07-07,063440,에스엠라이프디자인그룹,1596,,76284
2025-07-07,376300,디어유,55900,,212726
2025-07-08,041510,에스엠,133400,,189231
2025-07-08,048550,에스엠컬처앤콘텐츠,1466,,399771
2025-07-08,054780,키이스트,4310,,2951843
2025-07-08,060570,드림어스컴퍼니,9535,,19963
2025-07-08,063440,에스엠라이프디자인그룹,1601,,96968
2025-07-08,376300,디어유,61900,,631254
2025-07-09,041510,에스엠,133900,,118969
2025-07-09,048550,에스엠컬처앤콘텐츠,1490,,179045
2025-07-09,054780,키이스트,4365,,112575
2025-07-09,060570,드림어스컴퍼니,9700,,21005
2025-07-09,063440,에스엠라이프디자인그룹,1609,,105142
2025-07-09,376300,디어유,61100,,198020
2025-07-10,041510,에스엠,133800,,147277
2025-07-10,048550,에스엠컬처앤콘텐츠,1452,,444435
2025-07-10,054780,키이스트,4395,,101097
2025-07-10,060570,드림어스컴퍼니,9690,,33613
2025-07-10,063440,에스엠라이프디자인그룹,1599,,137401
2025-07-10,376300,디어유,60600,,165518
